Room,Month,RM ARR,RM NIGHTS,ROOM REV,ADR,,,,
207,February,10,15,"1,859.68",123.98,,,,
207,March,11,23,"3,219.40",139.97,,,,
207,April,14,22,"3,394.69",154.3,,,,
207,May,10,22,"3,383.89",153.81,,,,
207,June,7,17,"2,465.03",145,,,,
207,July,10,17,"2,732.24",160.72,,,,
207,August,9,15,"2,420.78",161.39,,,,
207,September,14,23,"3,540.34",153.93,,,,
207,October,16,29,"4,340.72",149.68,,,,
207,November,14,23,"4,249.12",184.74,,,,
207,December,17,26,"3,442.38",132.4,,,,
208,January,2,2,217.19,108.6,,,,
208,February,4,9,"1,244.67",138.3,,,,
208,March,8,16,"2,628.67",164.29,,,,
208,April,11,20,"3,768.71",188.44,,,,
208,May,8,13,"2,502.52",192.5,,,,
208,June,8,13,"2,208.47",169.88,,,,
208,July,12,19,"2,972.50",156.45,,,,
208,August,8,15,"3,137.11",209.14,,,,
208,September,11,21,"3,627.12",172.72,,,,
208,October,11,15,"3,218.13",214.54,,,,
208,November,12,18,"2,525.86",140.33,,,,
208,December,8,12,"1,573.77",131.15,,,,
209,January,5,6,811,135.17,,,,
209,February,10,18,"2,389.48",132.75,,,,
209,March,11,17,"2,295.00",135,,,,
209,April,8,21,"3,644.68",173.56,,,,
209,May,10,18,"2,951.88",163.99,,,,
209,June,7,17,"2,853.56",167.86,,,,
209,July,10,14,"2,642.24",188.73,,,,
209,August,8,17,"3,023.72",177.87,,,,
209,September,14,24,"4,252.57",177.19,,,,
209,October,17,30,"4,981.05",166.04,,,,
209,November,13,21,"2,946.27",140.3,,,,
209,December,12,17,"2,695.60",158.56,,,,
210,January,3,3,479,159.67,,,,
210,February,7,14,"2,213.92",158.14,,,,
210,March,9,17,"2,497.51",146.91,,,,
210,April,8,19,"2,931.70",154.3,,,,
210,May,10,17,"3,679.25",216.43,,,,
210,June,9,14,"2,424.93",173.21,,,,
210,July,13,19,"3,307.72",174.09,,,,
210,August,9,17,"3,359.86",197.64,,,,
210,September,10,19,"3,942.59",207.5,,,,
210,October,12,19,"3,593.28",189.12,,,,
210,November,13,18,"3,150.88",175.05,,,,
